file	sha256	table	index	name	type	bind	visibility	section	value	size	undefined	related_name
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	14983	npu_wifi_offload_set_tx_pkt_buf_addr	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0100d2804	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	15106	i2s_global_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0100d6690	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	15541	drain_workqueue	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0100f7cd4	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	16451	irq_domain_reset_irq_data	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01013bef0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	16554	rcu_force_quiescent_state	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc010144be0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	16588	rcu_cpu_stall_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0101483b0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	17112	cgroup_lock_and_drain_offline	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc010174ec0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	17450	lru_add_drain_cpu	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc010198750	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	17455	lru_add_drain	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc010198c70	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	17456	lru_add_drain_all	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc010198c94	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	17581	drain_zonestat	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0101a9704	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	17651	compaction_defer_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0101b2b20	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	17653	reset_isolation_suitable	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0101b2b80	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	17686	memcg_drain_all_list_lrus	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0101b5b90	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	17906	drain_local_pages	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0101d1560	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	17907	drain_all_pages	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0101d15e0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	17910	__page_frag_cache_drain	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0101d1970	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	17938	zone_pcp_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0101d51f4	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	17968	reset_node_managed_pages	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0101d6ff0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	18625	reset_files_struct	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01021e0c0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	19368	kernfs_drain_open_files	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0102814c0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	19772	jbd2_journal_recover	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0102dff54	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	19773	jbd2_journal_skip_recovery	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0102e00a0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	20191	ubifs_recover_master_node	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01032c5e4	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	20193	ubifs_recover_leb	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01032c884	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	20194	ubifs_recover_log_leb	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01032cf00	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	20195	ubifs_recover_inl_heads	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01032d130	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	20199	ubifs_recover_size_accum	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01032d640	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	20200	ubifs_recover_size	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01032d7e0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	20697	crypto_rng_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01036de94	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	20731	bio_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc010371620	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	20866	blk_queue_dma_drain	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc010379f50	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	20916	blk_mq_quiesce_queue_nowait	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01037e270	0x0	0	1
